Build IDs	Priority	Item	Slot	Act	Region / map	Location and acquisition	Coordinates	Why / when	Source
MO-OH	Supply	Elixir of Hill Giant Strength	Consumable	1	Druid Grove / Riverside Teahouse	Buy from Auntie Ethel before hostility; stock refreshes on long rest and level-up	-	Sets Strength to 21, powering Tavern Brawler without investing ability points	https://bg3.wiki/wiki/Elixir_of_Hill_Giant_Strength
MO-OH	Starter	The Sparkle Hands	Hands	1	Sunlit Wetlands	Loot the wooden chest near the mephit encounter	X 95 Y 210	Unarmed hits generate Lightning Charges and gain advantage against metal targets	https://bg3.wiki/wiki/The_Sparkle_Hands
MO-OH	Core	The Graceful Cloth	Chest	1	Rosymorn Monastery Trail	Buy from Lady Esther	-	Raises Dexterity and improves movement/jump utility before the armour respec	https://bg3.wiki/wiki/The_Graceful_Cloth
MO-OH	Core	Boots of Uninhibited Kushigo	Feet	1	Grymforge	Reward from Sergeant Thrinn for returning the Boots of Speed	-	Adds Wisdom modifier to unarmed strike damage	https://bg3.wiki/wiki/Boots_of_Uninhibited_Kushigo
MO-OH;WI-BS	Core	Disintegrating Night Walkers	Feet	1	Grymforge	Loot or pickpocket True Soul Nere	-	Prevents difficult-surface control and grants Misty Step	https://bg3.wiki/wiki/Disintegrating_Night_Walkers
MO-OH	Defence	Adamantine Splint Armour	Chest	1	Adamantine Forge	Forge with Mithral Ore and the Splint Mould	-	Critical-hit immunity and damage reduction dramatically improve Honor survivability	https://bg3.wiki/wiki/Adamantine_Splint_Armour
MO-OH	Endgame	Gloves of Soul Catching	Hands	3	House of Hope	Reward for saving Hope	-	Best unarmed gloves: force damage, healing or advantage, and Constitution	https://bg3.wiki/wiki/Gloves_of_Soul_Catching
WI-BS	Core	Diadem of Arcane Synergy	Head	1	Crèche Y'llek, Inquisitor's Chamber	Loot Ardent Jhe'rezath	-	Booming Blade easily triggers Arcane Synergy for added weapon damage	https://bg3.wiki/wiki/Diadem_of_Arcane_Synergy
WI-BS	Core	The Graceful Cloth	Chest	1	Rosymorn Monastery Trail	Buy from Lady Esther	-	Adds Dexterity for attacks, initiative, and Armour Class; keep Mage Armour active	https://bg3.wiki/wiki/The_Graceful_Cloth
WI-BS	Defence	Bracers of Defence	Hands	1	Apothecary's Cellar	Loot the gilded chest in the secret laboratory beneath the Blighted Village	X -656 Y -370	Adds Armour Class while wearing no armour and using no shield	https://bg3.wiki/wiki/Bracers_of_Defence
WI-BS	Core	Ring of Protection	Ring	1	Druid Grove	Complete Steal the Sacred Idol for Mol before resolving the grove	-	Adds Armour Class and saving throws for a concentration-dependent melee caster	https://bg3.wiki/wiki/Ring_of_Protection
WI-BS	Core	Broodmother's Revenge	Amulet	1	Druid Grove	Loot Kagha; nonlethal or hostile routes are required	-	Healing coats the weapon in poison for extra melee damage	https://bg3.wiki/wiki/Broodmother%27s_Revenge
WI-BS	Upgrade	Knife of the Undermountain King	Melee	1	Crèche Y'llek	Buy from A'jak'nir Jeera	-	Useful off-hand stat stick with an expanded critical range	https://bg3.wiki/wiki/Knife_of_the_Undermountain_King
WI-BS	Starter	Phalar Aluve	Melee	1	Underdark	Pull the sword from the stone southwest of the Selûnite Outpost	X 116 Y -192	Melody buffs party accuracy or damage before Shadow Blade becomes the main weapon	https://bg3.wiki/wiki/Phalar_Aluve
WI-BS	Starter	Bow of Awareness	Ranged	1	Shattered Sanctum	Buy from Roah Moonglow	-	Initiative bonus helps the Bladesinger act before enemies	https://bg3.wiki/wiki/Bow_of_Awareness
PA-FL	Required	Torch x2	Melee	1	Druid Grove	Pick up common torches in the grove or early wilderness; apply Shillelagh to the main-hand torch	-	The guide's Act 1 weapon setup uses a Shillelagh torch plus an off-hand torch until Flame Blade	https://eip.gg/bg3/builds/flamadin/
PA-FL	Core	Flame Blade	Summoned off-hand weapon	1	Druid Grove	At character level 3, prepare Flame Blade as a Druid spell; it is summoned rather than looted	-	Replace the off-hand torch with Flame Blade while keeping the Shillelagh torch in the main hand	https://eip.gg/bg3/builds/flamadin/
PA-FL	Core	Risky Ring	Ring	2	Moonrise Towers	Buy from Araj Oblodra	X -128 Y -193	Advantage improves the build's attacks, but disadvantage on saving throws is a serious Honor Mode cost	https://eip.gg/bg3/builds/flamadin/
PA-FL	Core	Helmet of Arcane Acuity	Head	2	Reithwin Mason's Guild	Loot a chest in the basement / secret area	-	Weapon hits build Arcane Acuity before Hold Person or area control	https://eip.gg/bg3/builds/flamadin/
PA-FL	Core	Hellfire Hand Crossbow	Ranged	2	Gauntlet of Shar	Loot Yurgir	-	Its Scorching Ray supplies multiple hits to build Arcane Acuity before control spells	https://eip.gg/bg3/builds/flamadin/
SO-111	Starter	The Spellsparkler	Melee / stat stick	1	Waukeen's Rest	Choose it from Counsellor Florrick's reward after rescuing her	-	Spell damage generates Lightning Charges and rewards multi-hit Scorching Ray	https://bg3.wiki/wiki/The_Spellsparkler
SO-111	Starter	Melf's First Staff	Melee / stat stick	1	Myconid Colony	Buy from Blurg	-	Adds 1 to spell save DC and spell attacks; cast Melf's Acid Arrow once per long rest	https://bg3.wiki/wiki/Melf%27s_First_Staff
SO-111	Starter	The Protecty Sparkswall	Chest	1	Grymforge	Loot a gilded chest at the end of the trapped walkway above the forge area	-	Adds Armour Class and saves while Lightning Charges are active	https://bg3.wiki/wiki/The_Protecty_Sparkswall
SO-111;CL-102	Starter	The Shadespell Circlet	Head	1	Myconid Colony	Buy from Omeluum after completing Help Omeluum Investigate the Parasite	-	Improves spell save DC while obscured or in shadow	https://bg3.wiki/wiki/The_Shadespell_Circlet
SO-111	Core	Hat of Fire Acuity	Head	2	Last Light Inn	Loot the Strange Ox after exposing or killing it	-	Fire damage stacks Arcane Acuity; Scorching Ray rapidly reaches high spell DC	https://bg3.wiki/wiki/Hat_of_Fire_Acuity
SO-111	Core	Spineshudder Amulet	Amulet	2	Moonrise Towers	Loot Mimic in Isobel's room	-	Ranged spell attacks apply Reverberation, pairing with Scorching Ray	https://bg3.wiki/wiki/Spineshudder_Amulet
SO-111	Upgrade	Ring of Mental Inhibition	Ring	2	Ruined Battlefield	Loot the locked chest in the House in Deep Shadows	-	Failed mental saves apply Mental Fatigue, making subsequent control harder to resist	https://bg3.wiki/wiki/Ring_of_Mental_Inhibition
SO-111	Endgame	Markoheshkir	Melee / stat stick	3	Sorcerous Sundries, Ramazith's Tower	Use See Invisibility to find the lever and disable the globe protecting the staff	-	Kereska's Favour and Arcane Battery define the endgame caster loadout	https://bg3.wiki/wiki/Markoheshkir
SO-111	Endgame	Spellmight Gloves	Hands	3	Circus of the Last Days	Reward from Lucretious for Find Dribbles the Clown; pickpocketing is an early alternative	-	Adds damage to each spell attack ray at an attack-roll penalty	https://bg3.wiki/wiki/Spellmight_Gloves
SO-111;SB-1011	Endgame	Rhapsody	Melee / stat stick	3	Cazador's Dungeon	Loot Cazador Szarr	-	Build Scarlet Remittance stacks for attack, damage, and spell save DC	https://bg3.wiki/wiki/Rhapsody
WI-BS	Optional	Strange Conduit Ring	Ring	1	Crèche Y'llek, Inquisitor's Chamber	Loot the elegant chest	X 1360 Y -657	Adds psychic damage while concentrating on Shadow Blade or another spell	https://bg3.wiki/wiki/Strange_Conduit_Ring
